time,open,high,low,close,volume,I,y,b,f,c,x
1638316800000,6.7989,6.7989,6.7495,6.7645,11606,1638316859999,78666.3456,192,1570,10644.2545,0
1638316860000,6.768,6.812,6.7629,6.8097,51171,1638316919999,347860.1997,381,47467,322717.7814,0
1638316920000,6.8072,6.8466,6.7954,6.8466,18028,1638316979999,122975.1372,443,15566,106202.6112,0
1638316980000,6.8469,6.9286,6.8417,6.9225,70319,1638317039999,484593.4988,1599,34952,240856.0418,0
1638317040000,6.9209,6.9712,6.9197,6.9634,34631,1638317099999,240664.8237,910,18510,128686.3657,0
1638317100000,6.9714,6.9989,6.9433,6.9989,53843,1638317159999,374914.1833,679,27590,192276.7906,0
1638317160000,6.9915,7.0429,6.98,7.032,111385,1638317219999,779782.066,1320,52521,368093.6538,0
1638317220000,7.0329,7.0423,6.9766,7.0181,41791,1638317279999,292939.9266,596,14590,102308.4223,0
1638317280000,7.0207,7.0348,6.9719,6.9719,26556,1638317339999,185889.4325,419,8618,60414.4036,0
1638317340000,6.9782,6.9866,6.921,6.9451,21170,1638317399999,147141.2316,625,6452,44865.9049,0
1638317400000,6.9434,6.9986,6.9267,6.9433,24295,1638317459999,169052.8908,531,12434,86550.7876,0
1638317460000,6.9485,6.9714,6.9181,6.9191,30083,1638317519999,208817.4991,298,14588,101289.2802,0
1638317520000,6.9248,6.9657,6.9236,6.9586,16237,1638317579999,112745.2975,216,10707,74358.3755,0
1638317580000,6.9589,6.9637,6.9447,6.9572,14685,1638317639999,102107.9885,96,8978,62444.2656,0
1638317640000,6.95,6.9604,6.9251,6.9412,12113,1638317699999,84072.4131,133,6345,44098.7198,0
1638317700000,6.9452,6.9821,6.9452,6.9729,49950,1638317759999,347932.3125,354,36023,250835.0091,0
1638317760000,6.9798,6.9952,6.9717,6.9852,33535,1638317819999,234174.944,232,12126,84707.5695,0
1638317820000,6.9842,6.9861,6.9615,6.9628,11219,1638317879999,78184.3536,129,3552,24766.5957,0
1638317880000,6.9628,6.9734,6.9334,6.9403,24925,1638317939999,173190.9732,264,6823,47416.8741,0
1638317940000,6.9403,6.9404,6.8934,6.8934,45140,1638317999999,312331.0218,533,28370,196300.4835,0
1638318000000,6.8954,6.9163,6.8862,6.8899,19368,1638318059999,133612.5076,213,9749,67267.9241,0
