time,open,high,low,close,volume,ct,qav,number of trades,tbsd,diawu,w
1673654400000,0.19862,0.19931,0.19862,0.19927,3358,1673654459999,668.991136,15,2172.2,432.669874,0
1673654460000,0.19914,0.19925,0.19847,0.19847,2750.8,1673654519999,546.46346,5,552.2,109.970619,0
1673654520000,0.19851,0.19871,0.19851,0.19871,961.7,1673654579999,190.960967,3,0,0,0
1673654580000,0.19838,0.19838,0.19834,0.19834,407.2,1673654639999,80.766332,2,0,0,0
1673654640000,0.1987,0.19933,0.19835,0.19933,2478.6,1673654699999,493.290231,10,2313.4,460.522811,0
1673654700000,0.19892,0.19935,0.19861,0.19921,5112.4,1673654759999,1016.604033,7,4290,852.947468,0
1673654760000,0.19922,0.19922,0.19818,0.19818,7661.6,1673654819999,1521.078377,10,236.6,47.00059,0
1673654820000,0.1989,0.20014,0.19884,0.20014,27863.9,1673654879999,5565.674987,35,20783.5,4149.895791,0
1673654880000,0.20026,0.20049,0.19999,0.20048,24386.2,1673654939999,4881.340376,22,9758.8,1955.966949,0
1673654940000,0.20048,0.20048,0.20048,0.20048,0,1673654999999,0,0,0,0,0
1673655000000,0.2004,0.2004,0.2,0.20039,2011.4,1673655059999,402.335426,5,1412.4,282.535426,0
1673655060000,0.2,0.2,0.19999,0.19999,7342.4,1673655119999,1468.457554,8,4892.2,978.44,0
1673655120000,0.2,0.2,0.2,0.2,26353.1,1673655179999,5270.62,9,24878.1,4975.62,0
1673655180000,0.20039,0.20039,0.20034,0.20035,8479.7,1673655239999,1698.908299,4,8479.7,1698.908299,0
1673655240000,0.20001,0.20001,0.1991,0.19974,40596.5,1673655299999,8115.717701,31,2721.4,542.284024,0
1673655300000,0.19973,0.19973,0.19973,0.19973,75.2,1673655359999,15.019696,1,75.2,15.019696,0
1673655360000,0.19973,0.19973,0.19973,0.19973,0,1673655419999,0,0,0,0,0
1673655420000,0.19973,0.19973,0.19973,0.19973,0,1673655479999,0,0,0,0,0
1673655480000,0.19973,0.19973,0.19973,0.19973,2556.9,1673655539999,510.689637,2,2556.9,510.689637,0
1673655540000,0.19934,0.19934,0.19912,0.19912,1241.2,1673655599999,247.319824,3,310.4,61.868928,0
1673655600000,0.19912,0.19969,0.19912,0.19969,8864.3,1673655659999,1767.652745,11,2344.7,468.036329,0
1673655660000,0.19939,0.19939,0.19939,0.19939,658.5,1673655719999,131.298315,1,0,0,0
1673655720000,0.19939,0.19939,0.19939,0.19939,416.6,1673655779999,83.065874,1,0,0,0
1673655780000,0.19939,0.19939,0.19938,0.19938,2639.2,1673655839999,526.218557,2,1153.1,229.905078,0
1673655840000,0.19938,0.19938,0.199,0.199,8765.6,1673655899999,1745.238575,8,1042.8,207.913464,0
1673655900000,0.199,0.199,0.1989,0.1989,3469.2,1673655959999,690.256896,5,988.4,196.59276,0
1673655960000,0.19875,0.1989,0.19863,0.1987,16060.5,1673656019999,3191.256866,15,7171.2,1424.95074,0
1673656020000,0.1989,0.1989,0.1989,0.1989,156.7,1673656079999,31.16763,1,156.7,31.16763,0
1673656080000,0.19889,0.1989,0.1987,0.1987,2758.3,1673656139999,548.48589,3,2161.9,429.98121,0
1673656140000,0.1989,0.1989,0.1987,0.1989,5370.6,1673656199999,1067.3042,7,829.9,165.06711,0
1673656200000,0.1989,0.19969,0.1989,0.19908,9987.5,1673656259999,1992.492064,8,9634.1,1922.137192,0
1673656260000,0.19957,0.1997,0.19957,0.1997,5375.5,1673656319999,1073.434953,4,5375.5,1073.434953,0
1673656320000,0.1997,0.1997,0.19913,0.19913,4152.7,1673656379999,828.129224,5,0,0,0
1673656380000,0.1991,0.19951,0.1991,0.19914,2981.1,1673656439999,593.595983,5,2738.7,545.324447,0
1673656440000,0.19951,0.1996,0.19951,0.1996,1540.2,1673656499999,307.404918,4,1486.5,296.691231,0
1673656500000,0.1996,0.1996,0.1996,0.1996,1278.7,1673656559999,255.22852,2,1278.7,255.22852,0
1673656560000,0.1995,0.1995,0.19917,0.19917,12797.9,1673656619999,2550.800586,5,0,0,0
1673656620000,0.19917,0.19943,0.19883,0.19883,14728.8,1673656679999,2932.882743,8,136.2,27.162366,0
1673656680000,0.19883,0.20073,0.19883,0.20073,88653.4,1673656739999,17759.584421,34,84632,16959.742357,0
1673656740000,0.2008,0.2029,0.2008,0.2029,140102.7,1673656799999,28224.379332,105,138240.2,27849.927819,0
1673656800000,0.20264,0.2029,0.20197,0.20197,7935.8,1673656859999,1608.85924,6,6354,1288.512926,0
1673656860000,0.20278,0.203,0.20211,0.20211,13887.6,1673656919999,2817.42503,16,13391.8,2716.969585,0
1673656920000,0.2022,0.203,0.20214,0.20215,69834.3,1673656979999,14174.002724,24,67349.7,13671.690725,0
1673656980000,0.203,0.203,0.20257,0.20299,13637.8,1673657039999,2767.994078,9,12538.8,2545.369648,0
1673657040000,0.20293,0.20351,0.20293,0.2035,75454.2,1673657099999,15341.601172,38,67614.2,13748.167312,0
1673657100000,0.2035,0.20451,0.2035,0.20451,11086.5,1673657159999,2260.449651,46,7748.7,1580.671229,0
1673657160000,0.20438,0.205,0.20386,0.20452,24668,1673657219999,5049.6768,37,17994.8,3683.943731,0
1673657220000,0.20455,0.20455,0.20194,0.20194,95643.6,1673657279999,19502.125304,56,23608.4,4822.706279,0
1673657280000,0.20251,0.20349,0.20204,0.20204,7482.5,1673657339999,1516.4015,27,7091.4,1437.230546,0
1673657340000,0.20204,0.20205,0.20194,0.20194,13732.8,1673657399999,2774.468176,16,9991.8,2018.84319,0
1673657400000,0.20194,0.20203,0.19933,0.2016,83837.8,1673657459999,16816.856005,99,24356.8,4890.981485,0
1673657460000,0.20094,0.20094,0.1996,0.1996,22321.9,1673657519999,4472.300484,26,2437.1,489.363649,0
1673657520000,0.20049,0.20049,0.1996,0.20021,3717.8,1673657579999,742.429382,7,433.8,86.913944,0
1673657580000,0.1996,0.20033,0.1996,0.19986,1350.7,1673657639999,270.448367,4,1127,225.77191,0
1673657640000,0.20001,0.20045,0.19987,0.20001,8123.4,1673657699999,1623.968263,7,5595,1118.443719,0
1673657700000,0.20044,0.20175,0.2001,0.20175,12902.8,1673657759999,2588.379092,25,10937.5,2194.356095,0
1673657760000,0.20128,0.20184,0.20124,0.20169,18533.4,1673657819999,3737.662873,15,12591.7,2539.465909,0
1673657820000,0.20183,0.20184,0.20169,0.20169,11384.6,1673657879999,2297.854707,5,11331.3,2287.10463,0
1673657880000,0.20184,0.202,0.2015,0.202,75718.5,1673657939999,15268.196937,18,25323.9,5113.420301,0
1673657940000,0.20153,0.20213,0.2015,0.20186,14760.5,1673657999999,2981.199432,14,13870.7,2801.825223,0
1673658000000,0.20212,0.20251,0.2015,0.2025,16642.4,1673658059999,3367.567776,16,12386.7,2507.070184,0
1673658060000,0.20269,0.203,0.20269,0.20299,3295.4,1673658119999,668.761838,9,3295.4,668.761838,0
1673658120000,0.203,0.2035,0.2028,0.2029,36122.2,1673658179999,7333.674293,21,31250.2,6344.19705,0
1673658180000,0.2029,0.2029,0.2029,0.2029,5145.5,1673658239999,1044.02195,3,2067.5,419.49575,0
1673658240000,0.2031,0.20376,0.2031,0.20376,10546.4,1673658299999,2145.056018,15,8954.2,1820.824288,0
1673658300000,0.20376,0.2054,0.20312,0.2054,43936.1,1673658359999,8984.227998,73,26009.3,5323.271769,0
1673658360000,0.20511,0.20758,0.205,0.20758,41520.3,1673658419999,8559.763984,96,27132.9,5600.348422,0
1673658420000,0.2076,0.21092,0.2076,0.21,251721.6,1673658479999,52804.748299,252,171042.3,35881.756501,0
1673658480000,0.21,0.21132,0.2095,0.21125,55961.5,1673658539999,11762.514116,56,43149.5,9067.672268,0
1673658540000,0.21124,0.21151,0.21094,0.21151,35562.7,1673658599999,7515.426443,36,21586.5,4561.405408,0
1673658600000,0.21149,0.21149,0.20917,0.20917,32809.9,1673658659999,6918.853111,37,9595.6,2024.949433,0
1673658660000,0.20977,0.20998,0.20888,0.20915,24949.1,1673658719999,5223.346725,26,8773.8,1837.758823,0
1673658720000,0.20915,0.20915,0.208,0.20801,29445,1673658779999,6132.75156,39,9582.7,1997.006066,0
1673658780000,0.208,0.2086,0.20798,0.2086,4156.7,1673658839999,864.996391,11,3646.8,758.929727,0
1673658840000,0.20808,0.20893,0.2072,0.20893,22930.5,1673658899999,4763.804673,35,7095.5,1476.489769,0
1673658900000,0.20822,0.20974,0.20821,0.20974,11268.5,1673658959999,2359.956289,23,10036.3,2103.239925,0
1673658960000,0.20965,0.20965,0.20807,0.2084,67706.8,1673659019999,14124.544643,46,39345.4,8210.108322,0
1673659020000,0.20803,0.20847,0.20778,0.2081,15956.9,1673659079999,3318.428775,19,13424.5,2791.88797,0
1673659080000,0.2081,0.20838,0.2071,0.2081,27990.8,1673659139999,5814.489782,31,7583.9,1574.744256,0
1673659140000,0.2081,0.21022,0.2081,0.21022,26120.6,1673659199999,5466.588011,42,23874.6,4995.487912,0
1673659200000,0.21022,0.21055,0.20915,0.21014,36530.5,1673659259999,7664.631439,39,19004.6,3991.509749,0
1673659260000,0.21014,0.21113,0.21,0.21057,66261.8,1673659319999,13937.134922,38,27887.2,5876.09641,0
1673659320000,0.21057,0.21057,0.20984,0.20984,54166,1673659379999,11379.598951,19,8096.4,1704.584915,0
1673659380000,0.21023,0.213,0.21023,0.21281,77252.1,1673659439999,16366.701903,103,40874.2,8658.384305,0
1673659440000,0.21202,0.213,0.212,0.21231,15596.5,1673659499999,3313.289496,16,8741.2,1859.796393,0
1673659500000,0.21231,0.21231,0.21003,0.21069,67096.6,1673659559999,14183.850911,41,8759.4,1852.188859,0
1673659560000,0.21069,0.21091,0.21068,0.21069,46504.7,1673659619999,9798.333513,14,3200.9,674.661819,0
1673659620000,0.21038,0.21038,0.21,0.21,36823.2,1673659679999,7733.614542,28,0,0,0
1673659680000,0.21002,0.21002,0.20924,0.20932,144256.5,1673659739999,30288.310769,33,2305.4,484.025253,0
1673659740000,0.20917,0.20932,0.209,0.20901,21074.2,1673659799999,4405.837028,24,2471.5,517.180975,0
1673659800000,0.20931,0.21138,0.20931,0.21105,33806.4,1673659859999,7115.424836,40,19612,4123.083315,0
1673659860000,0.21166,0.2143,0.21166,0.21332,42845.8,1673659919999,9128.729383,102,33091.8,7053.892408,0
1673659920000,0.21312,0.2145,0.21312,0.21449,66082.2,1673659979999,14135.925878,70,45369.7,9710.960087,0
